Attribute,Top Team,Mean Value
Age,West Ham,28.27
Matches Played,Fulham,27.24
Playing Time_Starts,Fulham,19.9
Playing Time_Min,Manchester City,1785.57
Performance_non-Penalty Goals,Manchester City,4.05
Performance_Penalty Goals,Arsenal,0.48
Performance_Assists,Manchester City,3.24
Performance_ Yellow Cards,Chelsea,4.32
Performance_Red Cards,Burnley,0.25
Expected_xG,Arsenal,0.2
Expected_npxG,Everton,0.2
Expected_xAG,Manchester City,0.16
Progression_PrgC,Manchester City,53.48
Progression_PrgP,Arsenal,99.62
Progression_PrgR,Arsenal,98.86
Per 90 minutes_Gls,Newcastle Utd,0.22
Per 90 minutes_Ast,Tottenham,0.19
Per 90 minutes_G+A,Manchester City,0.36
Per 90 minutes_G-PK,Aston Villa,0.2
Per 90 minutes_G+A-PK,Manchester City,0.34
Per 90 minutes_xG,Arsenal,0.2
Per 90 minutes_xAG,Manchester City,0.16
Per 90 minutes_xG+xAG,Arsenal,0.34
Per 90 minutes_npxG,Everton,0.2
Per 90 minutes_npxG + xAG,Tottenham,0.33
Goalkeeping_Performance_GA,Luton Town,85.0
Goalkeeping_Performance_GA90,Sheffield Utd,2.8
Goalkeeping_Performance_SoTA,Luton Town,221.0
Goalkeeping_Performance_Saves,Manchester Utd,146.0
Goalkeeping_Performance_Save%,Manchester Utd,74.9
Goalkeeping_Performance_W,Tottenham,20.0
Goalkeeping_Performance_D,Everton,9.0
Goalkeeping_Performance_L,Luton Town,24.0
Goalkeeping_Performance_CS,Everton,13.0
Goalkeeping_Performance_CS%,Manchester City,45.15
Goalkeeping_Penalty Kick_PKatt,Everton,8.0
Goalkeeping_Penalty Kick_PKA,Everton,8.0
Goalkeeping_Penalty Kick_PKsv,West Ham,1.0
Goalkeeping_Penalty Kick_PKm,Sheffield Utd,1.0
Goalkeeping_Penalty Kick_Save%,Aston Villa,50.0
Shooting_Standard_Gls,Manchester City,4.48
Shooting_Standard_Sh,Liverpool,35.41
Shooting_Standard_SoT,Manchester City,12.52
Shooting_Standard_SoT%,Fulham,37.65
Shooting_Standard_Sh/90,Liverpool,1.73
Shooting_Standard_SoT/90,Everton,0.63
Shooting_Standard_G/Sh,Fulham,0.15
Shooting_Standard_G/SoT,Newcastle Utd,0.42
Shooting_Standard_Dist,Burnley,17.61
Shooting_Standard_FK,Manchester City,1.19
Shooting_Standard_PK,Arsenal,0.48
Shooting_Standard_PKatt,Arsenal,0.48
Shooting_Expected_xG,Liverpool,4.1
Shooting_Expected_npxG,Liverpool,3.75
Shooting_Expected_npxG/Sh,Fulham,0.14
Shooting_Expected_G-xG,Manchester City,0.58
Shooting_Expected_np:G-xG,Manchester City,0.52
Passing_Total_Cmp,Manchester City,1169.29
Passing_Total_Att,Manchester City,1318.48
Passing_Total_Cmp%,Manchester City,86.85
Passing_Total_TotDist,Manchester City,18722.62
Passing_Total_PrgDist,Liverpool,5386.32
Passing_Short_Cmp,Manchester City,612.38
Passing_Short_Att,Manchester City,651.62
Passing_Short_Cmp%,Manchester City,93.77
Passing_Medium_Cmp,Manchester City,448.81
Passing_Medium_Att,Manchester City,489.48
Passing_Medium_Cmp%,Manchester City,89.7
Passing_Long_Cmp,Manchester City,78.62
Passing_Long_Att,Fulham,135.38
Passing_Long_Cmp%,Manchester City,65.71
Passing_Expected_Ast,Manchester City,3.24
Passing_Expected_xAG,Liverpool,2.93
Passing_Expected_xA,Manchester City,2.95
Passing_Expected_A-xAG,Manchester City,0.36
Passing_Expected_KP,Liverpool,27.18
"Passing_Expected_""1/3""",Manchester City,89.95
Passing_Expected_PPA,Arsenal,26.0
Passing_Expected_CrsPA,Fulham,4.48
Passing_Expected_PrgP,Arsenal,99.62
Pass Types_Pass Types_Live,Manchester City,1241.33
Pass Types_Pass Types_Dead,Fulham,83.24
Pass Types_Pass Types_FK,Aston Villa,27.3
Pass Types_Pass Types_TB,Arsenal,4.95
Pass Types_Pass Types_Sw,West Ham,7.18
Pass Types_Pass Types_Crs,Liverpool,37.14
Pass Types_Pass Types_TI,Liverpool,34.32
Pass Types_Pass Types_CK,Manchester City,13.57
